Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
Aircel,4.4,1999.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,9192.0,5001-10000,Telecom,"Company culture, Salary, Work-life balance",,4.0,4.2,4.2,4.1,4.2,4.2,4.0
FastInfo,4.2,2019.0,"Kolkata, West Bengal",India,"Kolkata, West Bengal",India,631.0,501-1000,Internet,"Company culture, Salary, Work-life balance",,4.0,4.1,4.2,4.1,4.1,4.1,4.0
Volvo,4.0,1927.0,,,"Gothenburg, Sweden",Sweden,4500.0,100001+,Automobile,"Job security, Work-life balance, Company culture",Promotions,4.1,4.1,4.0,3.7,3.6,3.4,3.0
Tafe-Motors-&-Tractors,3.9,,,,,,1450.0,1001-5000,Industrial Machinery,"Company culture, Job security, Work-life balance",Promotions,3.8,3.8,3.8,3.8,3.7,3.4,3.1
Apotex-Research,3.8,2003.0,,,"Brantford, Ontario",Canada,1181.0,5001-10000,Pharma,Work-life balance,"Promotions, Job security",3.3,3.8,3.6,3.5,3.5,3.7,3.0
Sandhar-Technologies,3.7,1987.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,1645.0,1001-5000,Auto Components,Promotions,,3.7,3.5,3.4,3.5,3.4,3.5,3.2
LanceSoft,3.2,2000.0,,,Herndon,United States (USA),3167.0,1001-5000,Recruitment,"Promotions, Job security, Skill development",,2.8,3.2,3.0,2.9,3.0,3.2,2.6
Sundaram-Clayton,3.9,1962.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,1416.0,50001-100000,Auto Components,"Salary, Skill development",,3.4,3.5,3.7,3.9,3.6,3.9,3.4
CIEL-HR,3.9,2015.0,"Bengaluru/Bangalore, Karnataka",India,"Bangalore,Karnataka",India,958.0,501-1000,Recruitment,"Work-life balance, Company culture",Promotions,3.6,3.9,3.8,3.7,3.7,3.7,3.3
GE-Healthcare,3.9,1994.0,,,Chicago,UnitedStates,4855.0,50001-100000,Medical Equipment,"Company culture, Job security, Work-life balance",Promotions,3.8,3.8,3.9,3.7,3.7,3.6,3.2
Experis-IT,3.0,1997.0,"Kolkata, West Bengal",India,"Milwaukee, WI",United States,3001.0,1001-5000,Recruitment,,,2.7,3.0,2.8,2.7,2.8,2.9,2.5
Netscribes,2.7,2000.0,,,"New York, New York",United States (USA),1491.0,1001-5000,Analytics & KPO,"Promotions, Salary, Job security",,2.3,2.7,2.7,2.5,2.5,2.3,2.1
Medha-Servo-Drives,4.2,1984.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,1100.0,1001-5000,Electrical Equipment,"Job security, Skill development, Company culture",,4.3,3.9,4.0,4.1,3.9,3.8,3.7
Schlumberger,3.8,1926.0,,,"Houston, Texas",United States (USA),1600.0,50001-100000,Oil & Gas,"Work-life balance, Company culture","Promotions, Job security, Skill development",3.1,3.9,3.8,3.3,3.4,3.6,3.0
Nirma,4.2,1990.0,"Ahmedabad, Gujarat",India,"Ahmedabad, Gujarat",India,8001.0,5001-10000,FMCG,"Job security, Work-life balance, Work satisfaction",Promotions,4.6,4.4,4.0,4.0,4.1,3.6,3.2
Nityo-Infotech,3.3,2006.0,,,plainsboro New Jersey,UnitedStates,1345.0,10001-50000,IT Services & Consulting,"Promotions, Skill development, Job security",,2.9,3.3,3.1,2.9,3.1,3.2,2.8
Medhaj-Techno-Concept,4.0,2007.0,"Lucknow, Uttar Pradesh",India,"Lucknow, Uttar Pradesh",India,2501.0,1001-5000,Management Consulting,"Work-life balance, Company culture, Salary",Promotions,3.4,3.9,3.8,3.7,3.8,3.8,3.3
Deepak-Fertilisers-and-Petrochemicals,4.1,1979.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,1018.0,1001-5000,Chemicals,"Job security, Work-life balance, Company culture",,4.3,4.1,3.9,3.9,3.9,3.8,3.5
SKH-Metals,4.0,2006.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,1936.0,1001-5000,Auto Components,"Company culture, Work-life balance, Skill development",,3.8,3.9,3.9,3.9,3.8,3.8,3.6
Test-Yantra-Software-Solutions,3.0,2007.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,2201.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Job security",,2.8,3.0,2.8,3.2,2.9,2.8,2.6
Intellipaat-Software-Solutions,3.9,2011.0,"Bengaluru/Bangalore, Karnataka",India,Jaipur,India,1425.0,1001-5000,EdTech,"Salary, Skill development, Company culture",,3.8,3.8,3.8,3.9,3.8,3.9,3.8
OCS-Group,4.1,1996.0,"Mumbai, Maharashtra",India,"London, England",United Kingdom,10001.0,100001+,Facility Management Services,,,3.9,4.0,4.0,3.9,3.9,3.8,3.5
JSW-Paints,3.8,2016.0,,,"Mumbai, Maharashtra",India,1445.0,1001-5000,Chemicals,Promotions,,3.7,3.6,3.7,3.6,3.5,3.5,3.3
Neel-Metal-Products,4.0,,,India,,,1555.0,,Auto Components,"Job security, Skill development, Work-life balance",,4.1,3.8,3.7,3.9,3.8,3.6,3.4
Target,4.0,1902.0,,,"Minneapolis, Minnesota",United States (USA),4703.0,10001-50000,Retail,"Work-life balance, Company culture, Job security",Promotions,3.9,4.2,4.1,3.7,3.7,3.6,3.1
Re-Sustainability-Limited,3.8,,,,,,,,,,,,,,,,,
Steag-Energy-Services,4.3,2000.0,,,"Essen, Essen",Germany,1100.0,5001-10000,Power,"Job security, Work-life balance, Work satisfaction",,4.4,4.2,4.0,4.0,4.1,4.0,3.6
Aviva-Life-Insurance-India,3.5,2002.0,"Gurugram, Harayana",India,London,United Kingdom (UK),14000.0,1001-5000,Insurance,,,3.2,3.6,3.4,3.4,3.3,3.4,3.1
