Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
Khazana-Jewellery,3.9,1993.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,3429.0,1001-5000,Jewellery,"Company culture, Salary, Skill development",,3.6,3.6,3.8,3.8,3.6,3.8,3.4
Ebixcash-Global-Services,3.1,,,,,,11001.0,,BPO,"Promotions, Salary, Job security",,2.9,3.1,3.0,3.0,3.0,2.8,2.5
TVS-Eurogrip,3.7,1982.0,Madurai,India,Madurai,India,2785.0,1001-5000,Auto Components,"Promotions, Job security, Company culture",,3.3,3.5,3.3,3.5,3.4,3.4,2.9
UKB-Electronics-Limited,3.5,,,,,,,,,,,,,,,,,
Electrotherm,4.1,1983.0,"Ahmedabad, Gujarat",India,"Ahmedabad, Gujarat",India,2610.0,1001-5000,Iron & Steel,"Job security, Work-life balance, Company culture",,4.2,4.1,4.0,4.0,4.0,3.9,3.6
Continental,3.6,1871.0,"Bangalore / Bengaluru, Karnataka",India,Hanover,Germany,10001.0,100001+,Auto Components,Work-life balance,"Promotions, Job security",3.3,3.8,3.6,3.4,3.4,3.5,3.0
Chaitanya-India-Fin-Credit,4.1,2009.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,11247.0,10001-50000,NBFC,"Company culture, Skill development, Work-life balance",,3.8,3.9,4.1,4.0,3.9,3.6,3.7
Belstar-Microfinance,4.0,,,,,,13076.0,501-1000,NBFC,"Company culture, Work-life balance, Work satisfaction",,3.7,3.8,3.8,3.7,3.8,3.5,3.4
Airports-Authority-of-India,4.2,1995.0,"Delhi/NCR, New Delhi",India,"Delhi/NCR, New Delhi",India,16188.0,10001-50000,Aviation,"Work-life balance, Company culture, Job security",,4.1,4.2,4.1,4.0,4.1,4.0,3.7
Finova-Capital,3.8,2015.0,"Jaipur,Rajasthan",India,"Jaipur,Rajasthan",India,4483.0,1001-5000,NBFC,Salary,,3.6,3.7,3.7,3.7,3.6,3.8,3.6
Avalon-Technologies,3.8,2000.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,1142.0,1001-5000,Electronics Manufacturing,,,3.9,3.6,3.4,3.8,3.5,3.2,3.1
Varthana,4.0,2013.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,752.0,501-1000,NBFC,"Work-life balance, Company culture, Salary",,3.6,4.0,3.9,3.8,3.7,3.9,3.5
B.L.-Kashyap-&-Sons,3.7,,,,,,,,,,,,,,,,,
Suroj-Buildcon,4.1,2013.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,1301.0,1001-5000,Engineering & Construction,,,4.1,3.7,4.1,4.0,3.8,4.0,3.7
Data-Entry,4.2,1999.0,New Delhi,India,New Delhi,India,96.0,201-500,BPO,"Company culture, Salary, Skill development",,4.2,4.2,4.3,4.3,4.3,4.3,4.1
Turbo-Energy,4.1,1983.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,1001.0,1001-5000,Auto Components,"Work-life balance, Skill development, Work satisfaction",Promotions,3.9,4.0,3.9,4.0,4.0,3.6,3.2
Suraksha-Diagnostic,3.7,1992.0,Kolkata,India,Kolkata,India,439.0,501-1000,Healthcare,Skill development,Promotions,3.6,3.6,3.5,3.8,3.5,3.4,3.2
Sl-Lumax,3.4,1997.0,"Sriperumbudur, Tamil Nadu",India,"Sriperumbudur, Tamil Nadu",India,1500.0,1001-5000,Auto Components,"Work-life balance, Promotions, Work satisfaction",,3.5,2.9,3.1,3.5,3.1,3.1,3.0
Reliance-Jewels,3.9,2007.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,2000.0,5001-10000,Jewellery,"Job security, Skill development, Company culture",Promotions,4.0,3.8,3.8,3.9,3.7,3.5,3.3
Sir-H.-N.-Reliance-Foundation-Hospital-and-Research,4.2,,,,,,,,,,,,,,,,,
InsuranceDekho,3.5,2016.0,,,,,2147.0,,Internet,"Promotions, Job security, Work satisfaction",,3.2,3.3,3.4,3.4,3.3,3.4,3.1
NetConnectGlobal,3.1,1997.0,"Bengaluru/Bangalore, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,1801.0,1001-5000,IT Services & Consulting,"Promotions, Job security, Skill development",,2.7,3.2,2.9,2.8,2.9,3.0,2.6
Monte-Carlo,4.2,1984.0,,,"San Francisco,California",United States,2198.0,1001-5000,Fashion & Textile,"Salary, Work-life balance, Company culture",,4.0,4.1,4.0,3.9,3.9,4.2,3.6
ACKO,3.4,2016.0,"Bengaluru/Bangalore, Karnataka",India,"Bengaluru/Bangalore, Karnataka",India,1280.0,1001-5000,Insurance,"Promotions, Skill development, Work satisfaction",,3.2,3.4,3.3,3.1,3.2,3.5,2.9
Annalect,3.4,2010.0,,,"New York, New York",United States (USA),1900.0,1001-5000,Marketing & Advertising,Work-life balance,"Promotions, Job security, Skill development",3.1,3.8,3.5,3.2,3.3,3.2,2.8
SOLAR-INDUSTRIES-INDIA,3.6,,,,,,,,,,,,,,,,,
Varun-Motors,3.8,1993.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,1750.0,1001-5000,Automobile,"Job security, Skill development",Promotions,3.9,3.6,3.7,3.8,3.6,3.4,3.3
Sapphire-Foods-India,3.8,,,,,,,,,,,,,,,,,
Manjushree-Technopack,3.5,,,,,,,,,,,,,,,,,
South-Indian-Bank,3.3,1929.0,"Thrissur/Trichur, Kerala",India,"Thrissur/Trichur, Kerala",India,9355.0,5001-10000,Banking,"Salary, Job security","Work satisfaction, Work-life balance, Company culture",3.8,2.9,2.9,3.1,2.8,3.9,3.0
Crowne-Plaza,4.1,1983.0,,,"Atlanta, Georgia",United States (USA),640.0,10001-50000,Hospitality,"Job security, Company culture, Work-life balance",,4.0,3.9,3.9,3.9,3.9,3.5,3.6
Suma-Soft,3.5,2000.0,Pune,India,Pune,India,1222.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.4,3.4,3.4,3.3,3.2,3.0,2.8
IDBI-Intech-Limited,3.2,,,,,,,,,,,,,,,,,
Tecnimont,3.9,2005.0,"Mumbai, Maharashtra",India,"Milan, Italy",India,3101.0,1001-5000,Engineering & Construction,"Job security, Salary",Promotions,3.8,3.5,3.5,3.6,3.6,3.8,3.3
Karvy-Stock-Broking,3.6,1990.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,2392.0,10001-50000,,"Promotions, Work-life balance, Work satisfaction",,3.3,3.2,3.3,3.5,3.3,3.3,3.0
Serum-Institute-of-India,4.1,1966.0,Pune,India,Pune,India,4721.0,1001-5000,Biotechnology,"Job security, Salary, Work-life balance",Promotions,4.4,3.9,3.6,3.5,3.7,4.0,3.1
Sasken,3.6,1989.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,1693.0,1001-5000,IT Services & Consulting,"Promotions, Job security, Work satisfaction",,3.2,3.6,3.5,3.3,3.3,3.4,3.1
Kiya.ai,3.9,,,,,,,,,,,,,,,,,
Maharashtra-Seamless,3.5,,,,,,,,,,,,,,,,,
Motilal-Oswal-Wealth-Management,4.4,,,,,,436.0,1001-5000,Financial Services,"Skill development, Company culture, Job security",,4.2,4.2,4.4,4.5,4.2,4.2,4.0
IRB-Infrastructure,3.9,1998.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,3258.0,1001-5000,Engineering & Construction,"Work-life balance, Salary",Promotions,3.5,4.0,3.7,3.5,3.7,3.8,3.0
Medcode,3.8,,,,,,311.0,11-50,IT Services & Consulting,Skill development,,3.7,3.6,3.7,3.9,3.7,3.7,3.6
Shriram-Automall,4.0,2011.0,"Delhi/NCR, Delhi",India,"Delhi/NCR, Delhi",India,1451.0,1001-5000,Internet,"Job security, Company culture, Salary",,3.9,3.8,3.8,3.7,3.8,3.8,3.7
Trigent-Software,3.4,1995.0,,,"Southborough, Massachusetts",United States (USA),2342.0,1001-5000,IT Services & Consulting,"Promotions, Job security, Skill development",,3.0,3.4,3.2,3.1,3.2,3.4,2.9
Emids-Technologies-Limited,3.6,,,,,,,,,,,,,,,,,
Pyramid-IT-Consulting,3.1,1996.0,,,"Atlanta, Georgia",United States (USA),1537.0,1001-5000,Recruitment,,,2.6,3.1,2.9,2.8,2.8,3.1,2.6
Okaya-Power,3.8,1980.0,"Delhi/NCR, Delhi",India,"New Delhi, Delhi",India,800.0,1001-5000,Electrical Equipment,Promotions,,3.6,3.7,3.5,3.5,3.5,3.5,3.2
Hamilton-Housewares,3.8,,,,,,,,,,,,,,,,,
Vedanta-Limited,3.8,,,,,,17332.0,10001-50000,Metals & Mining,Salary,,3.7,3.4,3.4,3.6,3.4,4.0,3.4
Aster-Dm-Healthcare,3.7,,,,,,,,,,,,,,,,,
Super-Smelters,3.7,1995.0,"Kolkata, West Bengal",India,"Kolkata, West Bengal",India,3692.0,1001-5000,Iron & Steel,Skill development,"Promotions, Salary",3.6,3.7,3.6,3.8,3.6,3.2,3.1
Central-Reserve-Police-Force,4.6,1939.0,"Delhi/NCR, New Delhi",India,"Delhi/NCR, New Delhi",India,313634.0,100001+,Government,"Job security, Salary, Company culture",,4.7,4.2,4.3,4.2,4.2,4.6,3.8
Blackrock,3.5,1988.0,,,"New York City, New York",United States (USA),3501.0,10001-50000,Financial Services,"Promotions, Work satisfaction",,3.4,3.4,3.4,3.4,3.1,3.4,2.8
Action-Tesa,3.9,1970.0,New Delhi,India,New Delhi,India,2402.0,1001-5000,Building Material,"Job security, Skill development",Promotions,3.8,3.7,3.7,3.8,3.6,3.5,3.3
CSM-Technologies,4.0,1998.0,"Bhubaneswar, Odisha",India,"Bhubaneswar, Odisha",India,1196.0,1001-5000,IT Services & Consulting,"Job security, Work-life balance",,3.8,3.8,3.6,3.7,3.7,3.6,3.6
Shivam-Autotech,3.6,1998.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,651.0,501-1000,Auto Components,Skill development,"Promotions, Salary",3.7,3.7,3.5,3.8,3.6,3.1,3.0
HDFC-Asset-Management-Company,4.1,1999.0,Mumbai,India,Mumbai,India,1618.0,1001-5000,Financial Services,"Job security, Work-life balance, Skill development",Promotions,4.3,4.1,4.0,4.1,3.9,3.6,3.3
Nucleus-Software-Exports,3.4,1986.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,1851.0,1001-5000,Software Product,Job security,"Work satisfaction, Promotions, Skill development",4.0,3.1,3.3,3.1,3.0,3.2,3.0
Renovision-Automation-Services,3.3,2006.0,New Delhi,India,New Delhi,India,1600.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.1,3.3,3.1,3.1,3.1,2.9,2.6
Kajaria-Ceramics,3.9,1985.0,"Delhi/NCR, New Delhi",India,"Delhi/NCR, New Delhi",India,4794.0,1001-5000,Building Material,"Salary, Work-life balance",Promotions,3.5,3.8,3.6,3.4,3.6,3.8,3.2
Sapiens,3.1,1982.0,,,"Holon,Tel Aviv",Israel,2378.0,1001-5000,Software Product,"Promotions, Skill development, Work satisfaction",,3.0,3.2,3.0,2.6,2.7,3.0,2.5
Royaloak-Incorporation,3.6,,,,,,,,,,,,,,,,,
Schwing-Stetter,3.8,1998.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",Germany,2269.0,1001-5000,Industrial Machinery,Job security,Promotions,3.9,3.6,3.6,3.7,3.7,3.6,3.2
Hitachi-Systems-Micro-Clinic,4.0,1991.0,,,"Chiyoda City, Tokyo",Japan,3383.0,1001-5000,IT Services & Consulting,"Work-life balance, Job security, Company culture",Promotions,3.9,4.0,3.8,3.8,3.7,3.6,3.3
Einfochips,3.5,1994.0,,,"San Jose, California",United States (USA),3210.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.6,3.6,3.5,3.5,3.3,3.0,2.8
Dr.-Batras'-Positive-Health-Clinic,3.8,,,,,,,,,,,,,,,,,
EaseMyTrip.com,4.1,,,,,,,,,,,,,,,,,
Myk-Laticrete,3.9,2000.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,800.0,1001-5000,Building Material,"Salary, Skill development",,3.7,3.7,3.6,3.8,3.6,4.0,3.4
ThoughtWorks,3.9,1993.0,,,"Chicago, Illinois",United States (USA),3818.0,10001-50000,IT Services & Consulting,"Work-life balance, Company culture, Skill development",Promotions,3.5,4.1,4.0,4.0,3.7,3.5,3.0
Sintex-Industries,3.9,1931.0,"Kalol, Gujarat",India,"Kalol, Gujarat",India,5026.0,5001-10000,Industrial Machinery,"Job security, Work-life balance, Skill development",Promotions,4.0,3.8,3.7,3.8,3.8,3.7,3.3
Becton-Dickinson,4.0,2001.0,,,"Franklin Lakes, New Jersey",United States (USA),1026.0,50001-100000,Medical Equipment,"Company culture, Work-life balance, Job security",Promotions,3.8,3.9,3.9,3.7,3.7,3.7,3.2
Agrostar,4.0,2013.0,"Pune,Maharashtra",India,"Pune,Maharashtra",India,1456.0,501-1000,Internet,"Company culture, Skill development, Salary",,3.4,3.6,4.2,4.0,3.7,3.8,3.6
Finastra,3.7,2017.0,,,"Paddington, London",United States (USA),2511.0,1001-5000,Software Product,,,3.4,3.9,3.7,3.4,3.5,3.5,2.8
Cashify,3.8,2013.0,"Gurgaon,Haryana",India,"Gurgaon,Haryana",India,1486.0,1001-5000,Internet,Work-life balance,,3.5,3.8,3.7,3.7,3.6,3.7,3.4
Avaada-Group,4.3,2009.0,"Mumbai,Maharashtra",India,"Mumbai,Maharashtra",India,641.0,1001-5000,Power,,,4.2,4.2,4.1,3.9,4.0,4.2,4.0
Kirloskar-Ferrous-Industries,3.7,1991.0,"Koppal, Karnataka",India,"Koppal, Karnataka",India,3253.0,1001-5000,Iron & Steel,Job security,"Promotions, Salary",3.8,3.5,3.5,3.6,3.4,3.0,3.0
Mavenir-Systems,3.3,2017.0,,,"Richardson,Texas",United States,2810.0,1001-5000,IT Services & Consulting,"Promotions, Job security, Work-life balance",,2.8,3.1,3.1,3.3,3.2,3.4,2.6
Fiem-Industries,3.6,1989.0,New Delhi,India,New Delhi,India,2583.0,5001-10000,Auto Components,Salary,"Job security, Company culture, Promotions",3.1,3.4,3.2,3.4,3.4,3.9,3.3
Godrej-Industries,4.0,,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,1148.0,1001-5000,Real Estate,"Job security, Work-life balance, Company culture",Promotions,4.1,4.0,3.9,3.9,3.8,3.6,3.2
Gestamp,3.6,1997.0,,,"Madrid, Spain	",,1119.0,10001-50000,Auto Components,,,3.4,3.5,3.3,3.5,3.3,3.4,3.0
Sudarshan-Chemical-Industries,3.9,1952.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,1350.0,1001-5000,Chemicals,Skill development,Promotions,3.6,3.7,3.6,3.9,3.6,3.6,3.2
BMC-Software,4.0,1980.0,"Pune, Maharashtra",India,"Houston, Texas",United States (USA),2513.0,5001-10000,Software Product,"Company culture, Work-life balance, Salary",Promotions,3.4,4.0,4.0,3.7,3.7,3.9,3.2
Family-Health-Plan,3.7,,,,,,,,,,,,,,,,,
Finolex-Industries,3.7,1981.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,1499.0,"1,001-5,000",Building Material,Work-life balance,"Promotions, Skill development, Work satisfaction",3.5,3.8,3.4,3.2,3.3,3.5,2.9
ITC-Limited-Foods-Division,3.9,1910.0,Kolkata,India,Kolkata,India,25513.0,10001-50000,Food Processing,Job security,"Promotions, Salary",4.1,3.5,3.5,3.7,3.5,3.3,3.1
Holiday-Inn,4.0,1952.0,,,"Memphis, Buckinghamshire",United States (USA),1936.0,10001-50000,Hospitality,"Job security, Skill development",,3.9,3.7,3.7,3.9,3.7,3.7,3.6
Netmeds.com,3.9,,,,,,,,,,,,,,,,,
Royal-Caribbean-International,4.2,1969.0,,,"Miami, Florida",United States (USA),711.0,50001-100000,Sports & Recreation,"Salary, Company culture, Skill development",,4.0,4.0,4.2,4.2,4.0,4.3,3.9
BT-E-Serv,3.9,2007.0,"Delhi/NCR, New Delhi",India,"Delhi/NCR, New Delhi",India,514.0,51-200,BPO,"Work-life balance, Company culture, Job security",Promotions,3.8,4.2,3.9,3.5,3.7,3.7,3.1
Ongc-Petro-Additions,4.1,2006.0,"Vadodara/Baroda, Gujarat",India,"Vadodara/Baroda, Gujarat",India,1083.0,1001-5000,Petrochemicals,"Job security, Work-life balance, Company culture",,4.5,4.3,3.9,3.8,3.9,3.5,3.6
Mrs-Bector's-Food-Specialities,3.8,1978.0,Gurgaon,India,Gurgaon,India,2710.0,1001-5000,Food Processing,,,3.6,3.7,3.4,3.5,3.5,3.7,3.2
Nspira-Management-Services,3.7,2013.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,2000.0,10001-50000,Management Consulting,Promotions,,3.5,3.6,3.5,3.4,3.4,3.4,3.1
MothersonSumi-INfotech-&-Designs,3.4,2000.0,Noida,India,Noida,India,2195.0,1001-5000,IT Services & Consulting,Job security,"Promotions, Skill development, Salary",3.9,3.4,3.1,3.0,3.1,3.0,2.7
Grab-A-Grub-Services,3.9,,,,,,,,,,,,,,,,,
CSG-International,3.4,1994.0,,,"Englewood,Colorado",United States,2320.0,5001-10000,IT Services & Consulting,"Promotions, Skill development, Job security",,3.1,3.7,3.5,3.0,3.2,3.3,2.7
Cyfuture,3.0,2001.0,Noida,India,Noida,India,201.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,2.9,3.0,2.9,2.9,2.9,2.7,2.6
Vyapar,3.6,2017.0,"Bengaluru/Bangalore, Karnataka",India,"Bengaluru/Bangalore, Karnataka",India,1382.0,1001-5000,Software Product,"Work satisfaction, Promotions, Job security",,3.3,3.4,3.7,3.4,3.3,3.6,3.3
Jain-Irrigation-Systems,3.7,1963.0,"Jalgaon, Maharashtra",India,"Jalgaon, Maharashtra",India,6654.0,10001-50000,Agriculture,"Promotions, Salary",,3.7,3.6,3.6,3.6,3.5,3.0,2.9
Rocket-India,4.0,1994.0,,,"Dallas, Texas",United States (USA),2198.0,5001-10000,Financial Services,"Job security, Company culture, Work-life balance",Promotions,4.3,4.1,4.1,3.8,3.9,3.4,3.3
Infinity-Learn,4.2,2021.0,"Hyderabad,Telangana",India,"Hyderabad,Telangana",India,1201.0,,EdTech,"Salary, Company culture, Skill development",,4.1,4.1,4.2,4.2,4.1,4.3,4.1
Polaris-Consulting,4.2,1993.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,4716.0,1001-5000,IT Services & Consulting,"Job security, Work-life balance, Skill development",,4.0,4.0,3.9,4.0,3.9,3.8,3.6
Carnival-Cruise-Lines,4.2,1972.0,,,"Miami, Florida",United States (USA),3237.0,100001+,Sports & Recreation,"Company culture, Job security, Work-life balance",,3.9,3.9,4.2,3.9,3.9,3.8,3.6
Dhani-Services,3.7,2017.0,"Mumbai,Maharashtra",India,"Mumbai,Maharashtra",India,375.0,,,"Promotions, Job security",,3.1,3.6,3.4,3.4,3.4,3.6,3.1
DHL-Global-Forwarding,3.9,1815.0,,,Bonn,Germany,3646.0,10001-50000,Logistics,"Company culture, Job security, Work-life balance",Promotions,3.9,3.9,3.9,3.7,3.7,3.6,3.1
Jayaswal-Neco-Industries,4.1,1972.0,"Nagpur, Maharashtra",India,"Nagpur, Maharashtra",India,4197.0,1001-5000,Iron & Steel,"Job security, Work-life balance, Skill development",,4.2,4.0,3.8,3.9,3.8,3.6,3.5
AML-RightSource,2.6,,,,"Cleveland, Ohio",United States,1468.0,"1,001-5,000",IT Services & Consulting,"Job security, Company culture, Work satisfaction",,2.2,2.9,2.3,2.5,2.4,3.1,2.4
Blackberrys,3.7,1991.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,1526.0,501-1000,Fashion & Textile,,,3.1,3.6,3.5,3.6,3.5,3.6,3.1
Bharat-Biotech-International,3.1,,,,,,,,,,,,,,,,,
Toyoda-Gosei-Minda,4.2,2008.0,,,Aichi,Japan,1100.0,10001-50000,Auto Components,"Job security, Company culture, Work-life balance",,4.2,4.1,4.1,3.9,3.9,3.7,3.5
Sterling-Oil-Exploration-&-Energy-Production,3.5,2005.0,,,Lagos ,Nigeria,485.0,10001-50000,Oil & Gas,"Promotions, Work satisfaction, Skill development",,3.3,3.3,3.4,3.3,3.3,3.5,3.1
VDA-Infosolutions,3.8,2010.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,1201.0,1001-5000,IT Services & Consulting,"Job security, Work-life balance",Promotions,3.8,3.8,3.7,3.7,3.7,3.5,3.3
Hpl-Electric-&-Power,3.7,1992.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,1516.0,1001-5000,Electrical Equipment,Promotions,,3.6,3.7,3.4,3.4,3.5,3.5,3.2
Heidelberg-Cement,4.0,2006.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,970.0,50001-100000,Building Material,"Job security, Work-life balance, Company culture",,4.0,4.0,3.9,3.7,3.7,3.7,3.4
Jubilant-Agri-and-Consumer-Products,4.0,2010.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,1404.0,1001-5000,Chemicals,"Salary, Work-life balance, Job security",Promotions,3.8,3.9,3.7,3.6,3.6,4.0,3.3
Varindera-Constructions,4.4,1984.0,"New Delhi, Delhi",India,"New Delhi, Delhi",India,2360.0,501-1000,Engineering & Construction,"Salary, Company culture, Job security",,4.2,4.2,4.2,4.1,4.2,4.5,4.1
IKEA,4.0,1943.0,,,Delft,Netherland,3000.0,10001-50000,Retail,"Work-life balance, Company culture, Salary",Promotions,3.8,4.1,4.0,3.6,3.6,4.0,3.0
HashedIn-by-Deloitte,3.8,2010.0,"Bangalore / Bengaluru, Karnataka",India,"Bangalore / Bengaluru, Karnataka",United States (USA),3446.0,1001-5000,IT Services & Consulting,"Job security, Company culture, Skill development",,4.1,3.8,3.9,3.9,3.6,3.7,3.4
Anmol-Industries,3.9,1994.0,"Kolkata, West Bengal",India,"Kolkata, West Bengal",India,2317.0,1001-5000,FMCG,Work-life balance,,3.7,3.8,3.7,3.7,3.6,3.6,3.4
Vedang-Cellular-Services,3.8,2010.0,Mumbai,India,Mumbai,India,3501.0,1001-5000,Telecom,Salary,"Job security, Promotions",3.2,3.5,3.5,3.6,3.5,3.8,3.3
APL-Apollo-Tubes,4.0,1986.0,"Noida , Uttarpradesh",India,"Noida , Uttarpradesh",,3382.0,5001-10000,Iron & Steel,,,3.9,3.8,3.8,3.9,3.9,3.9,3.7
Ofbusiness,3.0,2015.0,Gurgaon,India,Gurgaon,India,17000.0,501-1000,Internet,,,2.5,2.7,2.8,3.0,2.8,3.4,2.8
Ugam-Solution,3.6,2000.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,1900.0,1001-5000,IT Services & Consulting,Job security,"Promotions, Salary, Work satisfaction",3.8,3.4,3.5,3.2,3.2,3.1,2.9
Columbia-Asia,4.6,2005.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,3491.0,1001-5000,Healthcare,"Company culture, Skill development, Job security",,4.3,4.3,4.5,4.4,4.2,3.9,3.9
Eli-Lilly-and-Company,3.3,1993.0,,,"Indianapolis, Indiana",United States (USA),3372.0,10001-50000,Pharma,,,3.5,3.6,3.2,3.1,3.0,3.6,2.8
Lulu-International-Shopping-Mall,3.7,2013.0,Kerala,India,Kerala,India,890.0,5001-10000,Retail,Job security,"Promotions, Salary",3.8,3.6,3.5,3.6,3.5,3.3,3.1
Maxicus,4.0,2002.0,"Gurgaon,Haryana",India,"Gurgaon,Haryana",Array,5001.0,5001-10000,BPO,"Company culture, Job security, Work-life balance",,3.9,3.9,3.9,3.8,3.8,3.8,3.7
Sanghi-Industries,4.0,1985.0,"Ahmedabad, Gujarat",India,"Ahmedabad, Gujarat",India,767.0,501-1000,Building Material,"Skill development, Work-life balance, Work satisfaction",Promotions,3.6,3.8,3.7,3.9,3.8,3.5,3.3
United-Colors-of-Benetton,4.4,1992.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,800.0,5001-10000,Fashion & Textile,"Company culture, Salary, Work-life balance",,4.0,4.2,4.3,4.2,4.1,4.2,3.8
Bridge-&-Roof-Co,3.4,1920.0,"Kolkata, West Bengal",India,"Kolkata, West Bengal",India,1162.0,1001-5000,Engineering & Construction,"Promotions, Work-life balance, Company culture",,3.3,3.1,3.1,3.4,3.2,3.2,2.8
Medley-Pharmaceuticals,3.9,1969.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,3000.0,1001-5000,Pharma,Work-life balance,Promotions,3.7,4.0,3.7,3.4,3.7,3.4,3.2
Perficient,3.7,1997.0,,,"St Louis, Missouri",United States (USA),2000.0,1001-5000,IT Services & Consulting,,,3.3,3.8,3.7,3.5,3.5,3.6,3.3
EdgeVerve-Systems,3.2,2014.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,2053.0,5001-10000,Software Product,Job security,"Promotions, Salary, Work satisfaction",3.8,3.4,3.1,3.2,2.9,2.8,2.4
DealShare,3.5,2018.0,"Bengaluru/Bangalore, Karnataka",India,"Jaipur,Rajasthan",India,1500.0,1001-5000,Internet,"Job security, Promotions, Company culture",,3.0,3.4,3.2,3.3,3.3,3.6,3.2
Consulting-Engineers-Group,4.1,1984.0,"Jaipur, Rajasthan",India,"Jaipur, Rajasthan",India,1600.0,1001-5000,Engineering & Construction,"Work-life balance, Company culture, Work satisfaction",,3.6,4.0,3.9,3.7,3.9,3.8,3.4
Pathkind-Diagnostics-Private-Limited,4.0,,,,,,,,,,,,,,,,,
SIS-Prosegur-Holdings,3.4,1995.0,"Patna, Bihar",India,"Patna, Bihar",India,11801.0,1001-5000,Law Enforcement & Security,"Promotions, Salary, Work satisfaction",,3.3,3.4,3.4,3.4,3.3,3.2,2.9
Accion-Labs,3.5,2011.0,,,"Bridgeville, Pennsylvania",United States (USA),1721.0,1001-5000,IT Services & Consulting,,,3.1,3.6,3.4,3.5,3.3,3.4,2.9
Inspira-Enterprise-India-Limited,3.6,,,,,,,,,,,,,,,,,
IDP-Education-Limited,3.6,,,,,,,,,,,,,,,,,
The-Saraswat-Co-operative-Bank,3.2,1918.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,5424.0,5001-10000,Banking,"Promotions, Salary, Work satisfaction",,3.6,3.3,3.1,3.1,2.9,2.8,2.6
ShareChat,3.6,2014.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,1400.0,1001-5000,Internet,Salary,"Job security, Promotions",2.7,3.7,3.6,3.5,3.5,3.9,3.2
Vadilal-Industries,4.1,1907.0,"Ahmedabad, Gujrat",India,"Ahmedabad, Gujrat",India,638.0,501-1000,FMCG,"Job security, Work-life balance, Company culture",,4.0,4.0,3.9,3.8,3.8,3.9,3.6
Affinity-Express,2.8,1993.0,"Pune, India",India,"Elgin, Illinois, USA",India,1793.0,1001-5000,Marketing & Advertising,"Promotions, Work satisfaction, Skill development",,2.7,2.7,2.6,2.6,2.5,2.6,2.1
Saudi-Aramco,4.5,1933.0,,,Dhahran,Saudi Arabia,1490.0,50001-100000,Oil & Gas,"Work-life balance, Salary, Company culture",,4.0,4.5,4.3,4.2,4.3,4.4,3.8
